,CPU,Features,Stand-by,Loudspeaker,Bluetooth,Games,OS,_2,_3,3.5mm jack,Keyboard,SIM,Single,Weight,Chipset,Call records,Status,WLAN,2G bands,Resolution,Talk time,Card slot,Speed,NFC,Announced,Technology,_1,Brand,GPU,Model Image,Size,Model Name,Messaging,Colors,Type,Phonebook,GPRS,Dimensions,Internal,USB,EDGE,Positioning,Radio,3G bands,Video,Type_1,Sensors,Java
No,,,Up to 200 h,Yes,2.1,No,,,,Yes,,Dual SIM (Mini-SIM),VGA,83 g (2.93 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,128 x 160 pixels (~114 ppi density),Up to 4 h,microSDHC (dedicated slot),,No,"2015, November. Released 2016, February",GSM,Music playerVideo playerOrganizer,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-minu-p124.jpg,"1.8 inches, 10.2 cm2(~18.8% screen-to-body ratio)",Parla Minu P124,SMS,"Black, White","TFT, 256K colors",Yes,Yes,112 x 48.5 x 13 mm (4.41 x 1.91 x 0.51 in),4MB 4MB RAM,microUSB 2.0,No,No,Stereo FM radio,,Yes,"Li-Ion 600 mAh, removable",,No
HSDPA 900 / 2100 - SM35SH083,1.0 GHz Cortex-A7,"LED flash, HDR",Up to 171 h (3G),Yes,"2.1, EDR",,Android 4.4 (KitKat),,,Yes,,Dual SIM (Mini-SIM/ Micro-SIM),"2 MP, AF",98 g (3.46 oz),Spreadtrum 7715,,Discontinued,"Wi-Fi 802.11 a/b/g/n, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 3 h 30 min (3G),microSDHC,HSPA 21.1/5.76 Mbps,No,"2015, June. Released 2015, July",GSM / HSPA,No,Parla,Mali-400,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-35s.jpg,"3.5 inches, 36.5 cm2(~49.2% screen-to-body ratio)",Parla Sonic 3.5S,,"Black, White","TFT, 256K colors",,,117.8 x 63 x 11.7 mm (4.64 x 2.48 x 0.46 in),512MB 256MB RAM,microUSB 2.0,,A-GPS only,Stereo FM radio,HSDPA 850 / 1900 - SM35SH079,480p@30fps,"Li-Ion 1300 mAh, removable",Accelerometer,
Flashlight,,,Up to 200 h,Yes,2.0,No,,Music playerVideo playerOrganizerVoice memoWhatsapp,,No,,Dual SIM (Mini-SIM),VGA,73 g without battery (2.57 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,128 x 160 pixels (~114 ppi density),Up to 4 h,microSDHC,,No,"2014, September. Released 2014, November",GSM,No,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-P123.jpg,"1.8 inches, 10.2 cm2(~21.3% screen-to-body ratio)",Parla Minu P123,SMS,"Black, White","TFT, 65K colors",Yes,Yes,106.5 x 45 x 14 mm (4.19 x 1.77 x 0.55 in),32Mb 32Mb RAM,microUSB,No,No,Stereo FM radio,,Yes,"Li-Ion 600 mAh, removable",,No
No,1.0 GHz Cortex-A5,,Up to 600 h (2G) / Up to 500 h (3G),Yes,"2.1, A2DP",,Android 4.1 (Jelly Bean),,,Yes,,Dual SIM (Mini-SIM),2 MP,105 g (3.70 oz),Spreadtrum SC7710G,,Discontinued,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",Up to 16 h (2G) / Up to 6 h (3G),microSDHC (dedicated slot),HSPA 7.2/5.76 Mbps,No,"2013, September. Released 2013, Q4",GSM / HSPA,,Parla,Mali-300,https://fdn2.gsmarena.com/vv/bigpic/parla-sonic-3.5.jpg,"3.5 inches, 36.5 cm2(~50.6% screen-to-body ratio)",Parla Sonic 3.5,,"Black, White","TFT, 256K colors",,,116 x 62.2 x 11.6 mm (4.57 x 2.45 x 0.46 in),512MB 512MB RAM,microUSB 2.0,,No,Stereo FM radio,HSDPA 850 / 1900 - SIM 1 only,480p@30fps,"Li-Ion 1300 mAh, removable","Accelerometer, proximity",
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only),,,Up to 230 h,Yes,2.0,Yes,,No,Music playerVideo player,No,,Triple SIM (Mini-SIM),VGA,90 g (3.17 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,128 x 160 pixels (~114 ppi density),Up to 6 h,microSDHC (dedicated slot),,No,"2013, September. Released 2013, Q4",GSM,Flashlight,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-bianco.jpg,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",Parla Zum Bianco,SMS,White,"TFT, 65K colors",Yes,No,103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),32Mb 32Mb RAM,miniUSB,No,No,Stereo FM radio,,Yes,"Li-Ion 600 mAh, removable",,No
Flashlight,,,Up to 200 h,Yes,"2.1, A2DP",Yes,,Music playerVideo playerOrganizerVoice memo,,Yes,,Dual SIM (Mini-SIM),VGA,70 g (2.47 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,128 x 160 pixels (~114 ppi density),Up to 5 h,microSDHC (dedicated slot),,No,"2013, September. Released 2013, Q4",GSM,No,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-minu.jpg,"1.8 inches, 10.2 cm2(~19.9% screen-to-body ratio)",Parla Minu,"SMS, MMS","Black, White","TFT, 65K colors",Yes,Class 12,110.6 x 46.4 x 13.7 mm (4.35 x 1.83 x 0.54 in),32Mb 32Mb RAM,microUSB 2.0,No,No,Stereo FM radio,,Yes,"Li-Ion 600 mAh, removable",,No
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P730 only),,LED flash,Up to 280 h,Yes,"2.1, A2DP",Yes,,No,Analog TVFacebookMusic playerVideo playerOrganizerVoice memo,Yes,QWERTY,Triple SIM (Mini-SIM),2 MP,90 g without battery (3.17 oz),,Yes,Discontinued,Wi-Fi 802.11 a/b/g,GSM 850 / 900 / 1800 / 1900,"320 x 240 pixels, 4:3 ratio (~174 ppi density)",Up to 7 h,microSDHC (dedicated slot),,No,"2012, June. Released 2012, Q4",GSM,Flashlight,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-gala-p730.jpg,"2.3 inches, 16.4 cm2(~26.3% screen-to-body ratio)",Parla Gala,"SMS, MMS",Black,"TFT, 65K colors",Yes,Yes,105.5 x 59 x 12.9 mm (4.15 x 2.32 x 0.51 in),128Mb 64Mb RAM,microUSB,Yes,No,Stereo FM radio,,Yes,"Li-Ion 800 mAh, removable",,Yes
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P430 only),,LED flash,Up to 260 h,Yes,"2.1, A2DP",Yes,,No,Analog TVFacebookMusic playerVideo playerOrganizerVoice memo,Yes,QWERTY,Triple SIM (Mini-SIM),2 MP,90 g without battery (3.17 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900,"320 x 240 pixels, 4:3 ratio (~200 ppi density)",Up to 6 h,microSDHC (dedicated slot),,No,"2012, June. Released 2012, Q4",GSM,Flashlight,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-spriz-p430.jpg,"2.0 inches, 12.4 cm2(~20.7% screen-to-body ratio)",Parla Spriz,"SMS, MMS","Black, White","TFT, 65K colors",Yes,Yes,104.6 x 57.2 x 13 mm (4.12 x 2.25 x 0.51 in),128Mb 64Mb RAM,microUSB,Yes,No,Stereo FM radio,,Yes,"Li-Ion 700 mAh, removable",,Yes
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P330 only),,LED flash,Up to 260 h,Yes,"2.1, A2DP",Yes,,No,Music playerVideo playerOrganizerVoice memo,Yes,QWERTY,Triple SIM (Mini-SIM),VGA,90 g without battery (3.17 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900,160 x 128 pixels (~114 ppi density),Up to 6 h,microSDHC (dedicated slot),,No,"2012, June. Released 2012, Q4",GSM,Flashlight,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-mist-p330.jpg,"1.8 inches, 10.2 cm2(~17.1% screen-to-body ratio)",Parla Mist,"SMS, MMS","Black, White, Silver","TFT, 65K colors",Yes,Class 12,104.6 x 57 x 12.9 mm (4.12 x 2.24 x 0.51 in),32Mb 32Mb RAM,microUSB,No,No,Stereo FM radio; built-in antenna,,Yes,"Li-Ion 700 mAh, removable",,No
GSM 850 / 900 / 1800 / 1900 - SIM 2 & SIM 3 (P130 only),,,Up to 260 h,Yes,No,Yes,,No,Music playerVideo playerOrganizerVoice memo,No,,Triple SIM (Mini-SIM),VGA,90 g without battery (3.17 oz),,Yes,Discontinued,No,GSM 850 / 900 / 1800 / 1900,128 x 160 pixels (~114 ppi density),Up to 6 h,microSDHC (dedicated slot),,No,"2012, June. Released 2012, Q4",GSM,Flashlight,Parla,,https://fdn2.gsmarena.com/vv/bigpic/parla-zum-p130.jpg,"1.8 inches, 10.2 cm2(~21.4% screen-to-body ratio)",Parla Zum,SMS,"Black, White","TFT, 65K colors",Yes,No,103.8 x 45.8 x 13.4 mm (4.09 x 1.80 x 0.53 in),32Mb 16Mb RAM,miniUSB,No,No,Stereo FM radio,,Yes,"Li-Ion 700 mAh, removable",,No
